case	ht	sex	age	female	youth	wt	shoe	hair
51	73.1	M	36	0	0	217.4379	11.5	BLACK
52	62.9	F	31	1	0	180.3633	7	BROWN
53	60.8	F	28	1	0	125.1347	7	BLONDE
54	64.7	M	23	0	0	191.6526	9	BROWN
55	70.3	F	41	1	0	156.6218	8	BLONDE
56	76.5	M	37	0	0	187.6899	13	BLONDE
57	67.7	F	29	1	0	198.5119	7.5	BROWN
58	65.9	M	46	0	0	167.7099	9.5	BLACK
59	75.8	M	52	0	0	202.7415	11	BROWN
60	56.9	F	20	1	0	155.3549	6.5	BLONDE
61	77.4	M	27	0	0	196.4034	12	BROWN
62	71.9	F	51	1	0	179.6629	10	BLACK
63	69.1	M	23	0	0	189.1884	10.5	BROWN
64	64.0	F	26	1	0	139.0603	8.5	BROWN
65	69.9	M	40	0	0	177.5778	9.5	BLONDE
66	62.8	M	62	0	0	156.0105	9.5	GRAY
67	70.6	F	29	1	0	191.374	8.5	BLACK
68	62.9	F	45	1	0	134.8888	7	BROWN
69	74.9	M	20	0	0	209.7678	11	BLONDE
70	65.9	F	22	1	0	167.9003	7.5	BROWN
71	46.8	M	12	0	1	134.6874	6	BLACK
72	42.5	F	11	1	1	122.1168	5	BROWN
73	42.0	M	9	0	1	125.5632	5.5	BROWN
74	39.4	F	9	1	1	99.086	4.5	BLACK
75	49.0	F	10	1	1	107.6144	5	BLONDE
76	42.4	M	9	0	1	99.2007	5	BLONDE
77	52.1	M	11	0	1	111.0111	6	BROWN
78	37.4	F	8	1	1	102.9588	4	BLACK
79	45.3	F	10	1	1	115.5866	4.5	BLACK
80	50.1	M	12	0	1	114.0081	5.5	BROWN
81	43.9	F	10	1	1	123.1777	4.5	BLONDE
82	52.9	F	13	1	1	128.1526	5	BROWN
83	51.6	M	12	0	1	135.1869	6	BLONDE
84	51.3	M	10	0	1	113.2533	5.5	BLACK
85	49.1	F	11	1	1	132.1284	5	BROWN
86	55.7	M	12	0	1	167.3547	6	BLONDE
87	49.4	F	13	1	1	140.4508	5	BROWN
88	44.5	M	9	0	1	110.3895	4.5	BROWN
89	52.8	F	13	1	1	137.3917	5.5	BLACK
90	45.8	M	8	0	1	128.205	5	BLONDE
